Date,Price,Demand,Unit_Cost,Competitor_Price,Promotion,Holiday,Inventory
2023-01-01,103.48,1071,70.93,103.2,0,0,1592
2023-01-02,107.07,1205,70.6,107.23,1,0,387
2023-01-03,100.16,1148,69.6,99.3,0,1,601
2023-01-04,98.85,996,69.53,98.8,0,0,571
2023-01-05,85.81,1201,68.06,88.05,0,0,204
2023-01-06,111.07,881,71.64,112.72,0,0,228
2023-01-07,96.77,1151,71.37,96.9,0,0,147
2023-01-08,102.27,982,68.35,100.25,0,0,181
2023-01-09,102.41,979,68.56,98.88,0,0,676
2023-01-10,106.21,987,71.16,107.61,0,0,689
2023-01-11,89.44,1162,68.25,91.64,0,0,873
2023-01-12,109.49,921,69.89,110.21,0,0,1149
2023-01-13,120.0,818,69.71,118.16,0,0,331
2023-01-14,97.91,1132,69.26,99.72,0,0,169
2023-01-15,111.36,1043,71.52,113.01,0,0,545
2023-01-16,93.31,1138,68.75,93.5,0,0,437
2023-01-17,98.19,999,70.59,99.11,0,0,648
2023-01-18,96.45,983,69.67,95.66,0,0,838
2023-01-19,102.11,993,69.62,99.19,0,0,1031
2023-01-20,92.62,1225,69.2,92.74,0,0,830
2023-01-21,110.03,984,70.12,112.16,0,0,829
2023-01-22,101.18,1151,68.95,99.58,0,0,988
2023-01-23,93.07,1024,68.16,91.94,0,0,910
2023-01-24,97.44,921,69.39,98.3,0,0,1261
2023-01-25,101.44,959,70.78,98.55,0,0,302
2023-01-26,102.64,1016,69.04,104.64,0,0,744
2023-01-27,103.65,1011,71.55,104.24,0,0,759
2023-01-28,105.93,943,69.49,103.96,0,0,1296
2023-01-29,90.69,1192,69.47,90.64,0,0,1373
2023-01-30,86.79,1125,69.06,88.55,0,0,1656
2023-01-31,98.15,1047,68.78,103.59,0,0,609
2023-02-01,99.04,1012,68.71,98.59,0,0,893
2023-02-02,114.83,880,71.92,117.92,0,0,1135
2023-02-03,94.31,1082,68.68,95.73,0,0,1478
2023-02-04,100.41,994,71.51,98.12,0,0,484
2023-02-05,109.67,1092,69.17,110.7,0,0,697
2023-02-06,96.11,1095,71.55,95.85,0,0,452
2023-02-07,95.27,1025,69.86,91.69,0,0,918
2023-02-08,86.06,1214,71.31,86.91,0,0,853
2023-02-09,98.94,1352,70.16,101.67,1,0,970
2023-02-10,99.25,1063,69.73,98.28,0,0,1347
2023-02-11,95.26,1052,68.69,94.31,0,0,1582
2023-02-12,101.29,1074,70.07,102.45,0,0,508
2023-02-13,101.6,945,68.48,100.24,0,0,815
2023-02-14,93.51,919,69.97,93.39,0,0,1217
2023-02-15,90.9,1068,71.8,90.25,0,0,1556
2023-02-16,102.83,1010,68.65,104.65,0,0,546
2023-02-17,97.3,1054,71.76,93.51,0,0,982
2023-02-18,103.12,1037,71.28,105.39,0,0,1046
2023-02-19,95.1,1161,68.07,95.66,0,0,1286
2023-02-20,91.33,1061,69.98,89.68,0,0,1700
2023-02-21,99.45,1333,68.71,100.94,1,0,367
2023-02-22,108.94,1213,69.36,107.76,1,0,170
2023-02-23,96.92,936,68.95,98.19,0,0,430
2023-02-24,98.33,1326,68.04,100.04,1,0,287
2023-02-25,99.09,1054,69.93,97.38,0,0,501
2023-02-26,105.39,1108,71.16,106.72,0,0,325
2023-02-27,95.26,1363,70.95,98.89,1,0,253
2023-02-28,100.39,946,69.7,100.51,0,0,754
2023-03-01,100.55,1501,69.5,102.86,1,1,184
2023-03-02,109.29,862,69.93,107.38,0,0,247
2023-03-03,91.8,1019,69.97,91.76,0,0,388
2023-03-04,105.88,1063,68.95,108.15,0,0,241
2023-03-05,94.09,1209,71.85,94.54,0,0,363
2023-03-06,95.09,1027,71.98,93.16,0,0,465
2023-03-07,101.47,1005,71.8,101.25,0,0,607
2023-03-08,91.54,1082,68.92,94.72,0,0,469
2023-03-09,88.38,1042,69.12,91.84,0,0,773
2023-03-10,105.19,1307,69.67,108.14,1,0,489
2023-03-11,96.72,1103,71.94,99.46,0,0,874
2023-03-12,99.2,1176,69.66,101.68,0,0,1142
2023-03-13,102.12,1285,71.99,105.15,1,0,801
2023-03-14,94.82,1027,69.01,93.52,0,0,607
2023-03-15,103.46,964,69.43,104.12,0,0,748
2023-03-16,101.19,1053,70.24,103.5,0,0,1072
2023-03-17,109.58,1237,71.22,110.05,1,0,969
2023-03-18,106.2,1077,69.39,105.93,0,0,1254
